N0001,N0001,95.65,97.23,97.23
N0002,N0001,61.32,61.99,61.99
N0003,N0001,54.39,53.56,53.56
N0004,N0001,38.39,49.11,49.11
N0005,N0001,32.72,38.99,38.99
N0006,N0001,60.07,64.41,64.41
N0007,N0001,40.58,44.06,44.06
N0008,N0001,29.79,34.95,34.95
N0009,N0001,17.25,23.66,23.66
N0010,N0001,60.81,63.21,63.21
N0011,N0001,50.7,51.07,51.07
N0012,N0001,35.74,40.47,40.47
N0013,N0001,24.08,23.89,23.89
N0014,N0001,66.05,97.23,61.99
N0015,N0001,59.1,53.56,97.23
N0016,N0001,54.45,97.23,49.11
N0017,N0001,56.24,97.23,38.99
N0018,N0001,84.21,97.23,64.41
N0019,N0001,79.84,44.06,97.23
N0020,N0001,74.05,34.95,97.23
N0021,N0001,74.32,97.23,23.66
N0022,N0001,78.96,97.23,63.21
N0023,N0001,62.13,97.23,51.07
N0024,N0001,50.29,97.23,40.47
N0025,N0001,34.47,23.89,97.23
N0026,N0001,56.52,61.99,53.56
N0027,N0001,52.44,49.11,61.99
N0028,N0001,44.38,61.99,38.99
N0029,N0001,47.1,53.56,49.11
N0030,N0001,46.45,38.99,53.56
N0031,N0001,43.02,38.99,49.11
N0032,N0001,50.35,64.41,44.06
N0033,N0001,50.41,34.95,64.41
N0034,N0001,47.44,23.66,64.41
N0035,N0001,38.48,34.95,44.06
N0036,N0001,38.8,23.66,44.06
N0037,N0001,33.28,34.95,23.66
N0038,N0001,55.52,63.21,51.07
N0039,N0001,47,40.47,63.21
N0040,N0001,34.89,63.21,23.89
N0041,N0001,43.59,40.47,51.07
N0042,N0001,34.03,23.89,51.07
N0043,N0001,30.94,23.89,40.47
N0044,N0001,59.37,61.99,64.41
N0045,N0001,44.02,40.47,64.41
N0046,N0001,58.44,51.07,61.99
N0047,N0001,51.58,44.06,53.56
N0048,N0001,49.28,44.06,51.07
N0049,N0001,56.21,51.07,53.56
N0050,N0001,42.51,49.11,34.95
N0051,N0001,63.82,63.21,34.95
N0052,N0001,51.11,63.21,49.11
N0053,N0001,49.04,23.66,53.56
